#feature,bac3,bac4,bac1,bac2,bac5,bac6,vir1,vir4,vir2,vir3,vir5,vir6
ENSG00000000457.14,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
ENSG00000000938.13,120.0,17.0,125.0,65.0,53.0,33.0,32.0,17.0,35.0,2.0,43.0,27.0
ENSG00000000971.16,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000001460.18,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ENSG00000001461.17,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,2.0,2.0,0.0
ENSG00000004455.17,23.0,7.0,2.0,14.0,8.0,1.0,13.0,8.0,6.0,1.0,4.0,3.0
ENSG00000004487.17,6.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0
ENSG00000006555.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ENSG00000007341.19,0.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0
ENSG00000007923.16,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
ENSG00000007968.7,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0
ENSG00000008128.23,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ENSG00000008130.15,37.0,2.0,16.0,23.0,15.0,7.0,13.0,6.0,9.0,0.0,14.0,4.0
ENSG00000009307.16,63.0,17.0,19.0,40.0,17.0,21.0,22.0,12.0,18.0,0.0,21.0,7.0
ENSG00000009780.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000009790.15,22.0,9.0,6.0,14.0,7.0,7.0,9.0,11.0,5.0,2.0,9.0,6.0
ENSG00000010072.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ENSG00000010165.20,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0
