#feature,bac3,bac4,bac1,bac2,bac5,bac6,vir1,vir4,vir2,vir3,vir5,vri6
ENST00000003583.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENST00000003912.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENST00000011700.10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENST00000040877.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ENST00000054650.8,2.0,3.0,0.0,3.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0
ENST00000054666.11,9.0,0.0,12.0,11.0,15.0,5.0,3.0,3.0,1.0,0.0,13.0,2.0
ENST00000060969.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ENST00000072644.7,1.5,0.0,1.5,1.0,3.0,1.33,0.0,0.0,1.5,0.0,1.33,0.0
ENST00000164247.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENST00000167825.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENST00000194214.9,7.0,3.0,0.0,3.0,1.0,2.0,1.5,1.0,2.0,2.0,3.0,1.0
ENST00000196061.5,6.5,0.0,4.0,4.0,5.5,1.0,2.5,0.0,1.0,0.0,6.5,2.0
ENST00000209884.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENST00000212355.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENST00000234590.10,137.58,14.0,58.53,97.58,49.75,22.17,26.42,20.33,40.0,10.12,43.42,12.5
ENST00000234626.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ENST00000234677.7,11.33,4.83,3.33,6.0,4.0,3.33,5.0,1.67,3.33,2.0,4.33,2.5
ENST00000234739.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ENST00000234827.6,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENST00000234831.10,37.0,11.0,33.75,18.53,32.75,14.67,13.83,9.92,13.7,4.0,22.33,12.83
ENST00000234875.9,106.67,36.79,8.33,84.67,29.33,65.67,40.67,35.0,28.0,2.33,50.33,12.0
ENST00000235090.10,3.0,0.0,0.0,4.0,4.0,2.0,0.0,0.0,3.0,1.0,1.0,0.0
ENST00000235150.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENST00000235307.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ENST00000235310.7,2.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.5,0.0
ENST00000235329.10,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0
ENST00000235332.6,12.0,2.0,6.0,8.0,10.0,2.0,6.0,0.0,7.0,0.0,5.5,1.5
ENST00000235345.6,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ENST00000235372.11,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,2.0,0.0
ENST00000235382.7,77.0,12.0,14.0,42.0,63.0,24.0,26.0,21.0,10.0,0.0,33.0,19.0
